City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,Souillac,MU,73.4,broken clouds,-20.52,57.52,Bils' Villa
283,Hami,CN,55.36,few clouds,42.8,93.45,Laoyutang Resort
289,Ascension,US,60.8,clear sky,30.22,-90.9,Highland Inn
290,Svobodnyy,RU,25.59,overcast clouds,51.4,128.13,Alekseevskij Hotel
292,Kabo,CF,72.9,overcast clouds,7.7,18.63,
294,Santa Isabel Do Rio Negro,BR,71.85,broken clouds,-0.41,-65.02,Hotel GSA
295,Burnie,AU,62.01,broken clouds,-41.07,145.92,Beachfront Voyager Motor Inn
296,Ngunguru,NZ,71.01,overcast clouds,-35.62,174.5,Pacific Rendezvous Motel Resort
297,Jalu,LY,60.73,clear sky,29.03,21.55,Jalu Hotel
298,Kawhia,NZ,65.95,overcast clouds,-38.07,174.82,Kawhia Beachside Scape Holiday Park
299,Assiniboia,CA,39.2,clear sky,49.63,-105.98,Canalta Hotel Assiniboia
302,Honningsvag,NO,41.0,clear sky,70.98,25.97,Nordkapp Vandrerhjem
304,Viedma,AR,60.01,clear sky,-40.81,-63.0,Hotel Cristal
305,Springbok,ZA,69.28,clear sky,-29.66,17.89,Undulata Country Lodge
306,Westport,US,44.01,broken clouds,41.14,-73.36,The Westport Inn
310,Urumqi,CN,44.6,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
311,Severo-Kurilsk,RU,42.78,scattered clouds,50.68,156.12,Kak Doma
312,Okhotsk,RU,23.65,overcast clouds,59.38,143.3,
313,Teguise,ES,68.0,clear sky,29.06,-13.56,B&B La Casona de Nazaret
314,Altay,CN,43.0,broken clouds,47.87,88.12,Jinqiao Hotel
316,Ibanda,TZ,69.8,scattered clouds,-2.8,32.47,Lahe Hotel Mwanza
317,Nagato,JP,60.8,light intensity shower rain,34.38,131.2,いそう庵
320,Izumo,JP,60.8,mist,35.37,132.77,Toyoko-Inn Izumoshi ekimae
321,Mayor Pablo Lagerenza,PY,67.69,clear sky,-19.93,-60.77,
325,Goderich,CA,33.8,overcast clouds,43.75,-81.72,Harmony Inn
326,Saint-Denis,FR,64.99,broken clouds,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
327,Sioux Lookout,CA,28.4,overcast clouds,50.1,-91.92,Knobby's Fly-In Camps
328,Kenai,US,24.01,clear sky,60.55,-151.26,Aspen Extended Stay Suites
329,Lompoc,US,62.6,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
330,Kamaishi,JP,53.6,light intensity shower rain,39.27,141.88,Hotel Route Inn Kamaishi
333,Lasa,IT,42.01,few clouds,46.62,10.7,Pension Feldgärtenhof
335,Qaqortoq,GL,17.6,clear sky,60.72,-46.03,Hotel Qaqortoq
336,Pierre,US,39.99,clear sky,44.37,-100.35,Ramkota Hotel
337,Brezno,SK,46.0,overcast clouds,48.8,19.64,Chata Urpín Lúčky
338,Terrasini,IT,59.0,clear sky,38.15,13.08,Florio Park Hotel
339,Marzuq,YE,69.66,clear sky,14.4,46.47,
340,Ahipara,NZ,66.25,overcast clouds,-35.17,173.17,Ahipara Holiday Park
341,Horta,PT,62.1,scattered clouds,38.53,-28.63,Hotel do Canal | Horta - Faial
342,Tasiilaq,GL,26.6,clear sky,65.61,-37.64,The Red House
343,Piopio,NZ,69.19,overcast clouds,-38.47,175.02,Owls Nest Motel
344,Kiruna,SE,37.4,overcast clouds,67.86,20.23,Camp Ripan
346,Maputo,MZ,69.01,broken clouds,-25.97,32.59,Pestana Rovuma
347,Yazoo City,US,53.6,clear sky,32.86,-90.41,Hampton Inn Yazoo City
348,Barcelos,PT,64.4,overcast clouds,41.54,-8.62,Hotel Do Terço
350,Kletnya,RU,46.4,mist,53.39,33.22,Gostinitsa-Otel' Kletnya
351,Torbay,CA,39.99,broken clouds,47.67,-52.73,Gallows Cove
352,Mineros,BO,69.98,broken clouds,-17.12,-63.23,Residencial Imperial
353,Moron,AR,64.99,clear sky,-34.65,-58.62,Hotel Morón
354,Bassar,TG,67.84,broken clouds,9.25,0.78,ABOU KPANKISSI
356,Jian,CN,65.97,overcast clouds,27.12,114.98,Luling International Hotel
357,Leningradskiy,RU,17.98,overcast clouds,69.38,178.42,
358,Kajaani,FI,41.0,overcast clouds,64.23,27.73,Original Sokos Hotel Valjus
359,Calama,CL,44.6,clear sky,-22.47,-68.93,Park Hotel Calama
360,Lincoln,US,37.99,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
361,Saquarema,BR,64.74,few clouds,-22.92,-42.51,Hotel Fazenda Sol e Lua
363,Saldanha,ZA,59.0,clear sky,-33.01,17.94,Blue Bay Lodge
364,Suihua,CN,30.54,broken clouds,46.64,127.0,Water Resources Bureau Hostel
365,Necochea,AR,50.0,clear sky,-38.55,-58.74,dyd -mar Hotel
366,Birao,CF,72.93,broken clouds,10.28,22.79,
368,Surt,LY,68.5,clear sky,31.21,16.59,City Hotel
369,Petropavlovsk-Kamchatskiy,RU,46.4,broken clouds,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
370,Paragominas,BR,73.98,scattered clouds,-2.97,-47.48,HOTEL RODA VIVA
371,Ucluelet,CA,46.0,overcast clouds,48.93,-125.55,Black Rock Oceanfront Resort
373,Bend,US,42.8,clear sky,44.06,-121.32,Fairfield Inn & Suites by Marriott Bend Downtown
376,Guarapari,BR,68.0,broken clouds,-20.67,-40.5,Hotel Porto do Sol
378,Seoul,KR,60.8,clear sky,37.57,126.98,LOTTE HOTEL SEOUL
380,Sayyan,YE,53.2,clear sky,15.17,44.32,الاستاذة مروى اليوسفي
382,Talcahuano,CL,53.6,overcast clouds,-36.72,-73.12,Hotel Terramar
383,Athabasca,CA,44.6,broken clouds,54.72,-113.29,Athabasca Lodge Motel
384,Taltal,CL,56.53,clear sky,-25.4,-70.48,Residencial Karime
385,Druzhba,UA,44.94,overcast clouds,52.04,33.95,
386,Halifax,CA,55.99,moderate rain,44.65,-63.57,Hotel Halifax
387,Buraydah,SA,60.8,clear sky,26.33,43.98,Mövenpick Hotel Qassim
388,Maniitsoq,GL,22.82,broken clouds,65.42,-52.9,Hotel Heilmann Lyberth
390,Asau,RO,39.0,clear sky,46.43,26.4,Casa Mika Ciobanus
393,Novikovo,RU,47.5,light rain,51.15,37.89,
394,Wladyslawowo,PL,53.01,mist,54.79,18.4,Gwiazda Morza Resort SPA&SPORT
395,Kuryk,KZ,62.62,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
396,Camopi,GF,72.5,few clouds,3.17,-52.32,
399,San Francisco,US,64.0,few clouds,37.77,-122.42,The Clift Royal Sonesta Hotel
400,Jumla,NP,63.45,clear sky,29.27,82.18,Hotel Sundar Rara Karnali
402,Rognan,NO,51.8,broken clouds,67.1,15.39,Rognan Hotell
403,Olot,ES,55.0,clear sky,42.18,2.49,Hotel Riu Fluvià
406,Bage,BR,51.8,clear sky,-31.33,-54.11,Hotel Obino - Bagé
407,Auburn Hills,US,34.0,overcast clouds,42.69,-83.23,Quality Inn
408,Coihueco,CL,48.2,clear sky,-36.62,-71.83,Frutillares Coihueco
409,Mascote,BR,66.78,light rain,-15.56,-39.3,
410,Banamba,ML,72.54,clear sky,13.55,-7.45,Kassela de Banamba
411,Chenzhou,CN,58.55,overcast clouds,25.8,113.03,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
412,Nongstoin,IN,71.56,overcast clouds,25.52,91.27,Yo-yee Travellers Inn
413,Bharatpur,IN,64.4,haze,27.22,77.48,OYO 22446 Sonar Haveli
415,Naryan-Mar,RU,32.72,overcast clouds,67.67,53.09,Hostel Agat
416,Debre Tabor,ET,55.63,clear sky,11.85,38.02,Tigesh
417,Hovd,MN,34.12,clear sky,48.01,91.64,Buyant Hotel
418,Cumberland,US,57.2,clear sky,35.05,-78.87,American Eagle Inn
420,Hailar,CN,19.98,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
421,Inta,RU,26.15,overcast clouds,66.03,60.17,Apartments in Inta city
422,San Jose,US,66.99,haze,37.34,-121.89,The Westin San Jose
423,Skibbereen,IE,44.6,broken clouds,51.55,-9.27,The West Cork Hotel
424,Zheleznodorozhnyy,RU,41.0,fog,55.75,38.0,Hotel Dali
425,Marsa Matruh,EG,64.4,scattered clouds,31.35,27.25,Beau Site
426,Rebrikha,RU,35.82,overcast clouds,53.07,82.34,Sibiryak
427,Iquique,CL,62.6,overcast clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
428,Shelburne,CA,32.0,snow,44.08,-80.2,The Retreat at the Farm
429,Homer,US,23.0,clear sky,59.64,-151.55,Beluga Lake Lodge
430,Barinas,VE,71.33,overcast clouds,8.62,-70.21,Hotel Suites Mastranto
431,Harrogate,GB,61.0,moderate rain,53.99,-1.54,Hotel du Vin Harrogate
435,Sterling,US,41.0,broken clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
436,Martinsburg,US,37.4,clear sky,39.46,-77.96,Holiday Inn Martinsburg
437,Hit,IQ,72.48,broken clouds,33.64,42.83,Aboody Alhachem
438,Machado,BR,51.46,clear sky,-21.67,-45.92,JC Palace Hotel
440,Mirabad,AF,71.74,clear sky,30.44,61.84,
443,Amboasary,MG,73.4,scattered clouds,-25.03,46.38,DISCOVERY AMBOASARY
445,Pacific Grove,US,55.4,fog,36.62,-121.92,Lovers Point Inn
447,Starachowice,PL,46.99,broken clouds,51.04,21.07,"Hotel Senator, Konferencje&SPA"
448,Pecos,US,50.0,clear sky,31.42,-103.49,Knights Inn Pecos
449,Strezhevoy,RU,32.0,overcast clouds,60.73,77.59,Sibiryachka
450,Kuna,US,46.4,clear sky,43.49,-116.42,Winfield Springs
452,Russkaya Polyana,UA,44.94,overcast clouds,49.42,31.92,
453,Rockingham,US,45.0,moderate rain,42.97,-71.1,Iron Wheel Mobile Home Park
454,Levittown,US,43.0,clear sky,40.16,-74.83,Sheraton Bucks County Langhorne
456,Cidreira,BR,60.66,clear sky,-30.18,-50.21,Hotel Castelo
459,Havoysund,NO,44.6,scattered clouds,71.0,24.66,Arctic View Glamping & Restaurant
460,Dolinsk,RU,55.4,few clouds,47.35,142.8,"Gostinitsa ""Yubileynaya"""
461,Hassleholm,SE,59.0,overcast clouds,56.16,13.77,Göingehof
462,Te Anau,NZ,58.89,clear sky,-45.42,167.72,Kingsgate Hotel Te Anau
463,Makushino,RU,31.66,clear sky,55.21,67.24,Cristina Hotel
464,Zhangye,CN,52.41,clear sky,38.93,100.45,Zhangye Lvzhou Holiday Inn
467,Visnes,NO,53.6,light rain,59.36,5.22,Park Inn Haugesund Airport
469,Pismo Beach,US,64.4,clear sky,35.14,-120.64,SeaCrest OceanFront Hotel
470,Bereda,ES,62.01,overcast clouds,43.27,-7.54,Pazo de Verdes
475,Koroni,GR,61.0,few clouds,36.8,21.95,Apartments Xenios Zeus 1
476,Mut,TR,54.18,few clouds,36.64,33.44,Konak Otel
477,Zhicheng,CN,72.3,few clouds,30.3,111.5,Wangjiang Building
480,Brae,GB,50.0,scattered clouds,60.4,-1.35,Busta House Hotel
482,Jingdezhen,CN,68.92,broken clouds,29.29,117.21,Garden Hotel
484,Magadan,RU,31.28,overcast clouds,59.57,150.8,Magadan hotel
485,Eureka,US,48.2,clear sky,40.8,-124.16,Eureka Inn Trademark By Wyndham
486,Lima,PE,62.6,overcast clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
487,Dauphin,CA,44.6,clear sky,51.15,-100.05,Canway Inn & Suites
488,Pavilosta,LV,46.4,overcast clouds,56.89,21.19,"Hotel ""Vēju paradīze"""
489,Akdagmadeni,TR,42.15,scattered clouds,39.66,35.88,Hanedan Otel
491,Louth,GB,62.6,overcast clouds,53.37,0.0,The Beaumont Hotel
