City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Rawson,AR,-43.3,-65.1,75.34,22,93,21.92,overcast clouds
83,Ostrovnoy,RU,68.05,39.51,38.01,87,100,24.96,overcast clouds
84,Lundazi,ZM,-12.29,33.18,72.91,58,28,10.42,scattered clouds
85,Sorland,NO,67.67,12.69,50.0,76,75,11.41,light rain
86,Kalmunai,LK,7.42,81.82,86.61,62,75,5.91,broken clouds
87,Palmer,US,42.16,-72.33,42.8,88,90,11.41,overcast clouds
88,Ribeira Grande,PT,38.52,-28.7,62.64,70,21,18.32,few clouds
89,Talnakh,RU,69.49,88.4,21.2,85,75,4.47,broken clouds
90,Nalut,LY,30.33,10.85,55.24,81,0,9.95,clear sky
91,Linkoping,SE,58.41,15.62,54.0,93,100,14.99,light rain
92,Thompson,CA,55.74,-97.86,21.2,100,75,4.7,broken clouds
93,Ancud,CL,-41.87,-73.82,46.99,93,50,4.7,scattered clouds
94,Dudinka,RU,69.41,86.18,21.2,85,75,4.47,broken clouds
95,Alamosa,US,37.47,-105.87,33.8,86,1,1.54,clear sky
96,Claremore,US,36.31,-95.62,43.0,59,90,3.47,haze
97,Bethel,US,41.37,-73.41,42.8,83,1,8.05,light rain
98,Marystown,CA,47.17,-55.15,46.99,100,100,5.99,overcast clouds
99,Los Llanos De Aridane,ES,28.66,-17.92,71.6,30,0,9.17,clear sky
100,Chara,RU,56.91,118.26,-0.94,85,17,2.33,few clouds
101,Khatanga,RU,71.97,102.5,7.18,93,99,8.1,overcast clouds
102,Hamilton,US,39.18,-84.53,36.0,55,1,9.17,clear sky
103,Nouadhibou,MR,20.93,-17.03,73.4,49,0,12.75,clear sky
104,High Level,CA,58.52,-117.14,21.2,85,90,14.99,overcast clouds
105,Provideniya,RU,64.38,-173.3,23.0,62,40,4.23,scattered clouds
106,Dikson,RU,73.51,80.55,16.72,97,92,8.57,overcast clouds
107,Muros,ES,42.78,-9.06,66.99,90,100,15.01,overcast clouds
108,Escanaba,US,45.75,-87.06,27.0,79,1,6.93,clear sky
109,Esna,EG,25.29,32.55,68.0,77,0,4.7,clear sky
110,Cavalcante,BR,-13.8,-47.46,67.41,91,86,2.75,light rain
111,Kavieng,PG,-2.57,150.8,86.02,65,8,2.71,clear sky
112,Pontes E Lacerda,BR,-15.23,-59.34,71.67,65,88,2.39,overcast clouds
113,Cabo San Lucas,MX,22.89,-109.91,77.0,69,5,4.12,clear sky
114,Geraldton,AU,-28.77,114.6,71.6,64,75,20.8,broken clouds
115,Paciran,ID,-6.88,112.38,86.54,63,74,7.54,broken clouds
116,San Quintin,MX,30.48,-115.95,66.27,65,0,5.17,clear sky
117,Kaitangata,NZ,-46.28,169.85,54.0,63,78,10.0,broken clouds
118,Poum,NC,-20.23,164.02,78.31,73,69,8.7,light rain
119,Sao Joao Da Barra,BR,-21.64,-41.05,65.44,81,61,17.74,broken clouds
120,Najran,SA,17.49,44.13,55.4,35,0,3.51,clear sky
121,Husavik,IS,66.04,-17.34,39.2,48,20,12.75,few clouds
122,Norden,DE,53.6,7.2,64.4,88,75,18.34,broken clouds
123,Dingle,PH,11.0,122.67,84.24,77,96,14.45,moderate rain
124,Victoria,HK,22.29,114.16,82.99,56,86,11.16,overcast clouds
125,Matucana,PE,-11.85,-76.4,58.82,39,46,0.34,scattered clouds
126,The Valley,AI,18.22,-63.06,82.4,78,75,11.41,haze
127,Labuhan,ID,-6.88,112.21,86.49,65,99,8.3,overcast clouds
128,Mirnyy,RU,62.54,113.96,3.2,84,0,11.18,clear sky
129,Chuy,UY,-33.7,-53.46,51.08,87,18,3.24,few clouds
130,Olesnica,PL,51.21,17.39,55.99,77,99,7.85,overcast clouds
131,Rabo De Peixe,PT,37.8,-25.58,62.6,82,20,12.75,few clouds
132,Shunyi,CN,40.12,116.65,55.99,11,0,20.13,clear sky
133,Dingzhou,CN,38.51,115.0,59.0,14,0,11.18,clear sky
134,Mar Del Plata,AR,-38.0,-57.56,57.99,93,0,3.36,clear sky
135,Yarada,IN,17.65,83.27,86.0,62,0,6.93,haze
136,Namibe,AO,-15.2,12.15,69.08,79,8,2.19,clear sky
137,Porosozero,RU,62.72,32.73,30.76,97,93,10.11,overcast clouds
138,Hobart,AU,-42.88,147.33,82.99,44,0,6.93,clear sky
139,Caravelas,BR,-17.71,-39.25,71.13,89,100,11.48,overcast clouds
140,Yulara,AU,-25.24,130.99,100.4,9,0,12.75,clear sky
141,Pitimbu,BR,-7.47,-34.81,78.8,78,75,5.82,broken clouds
142,Eyrarbakki,IS,63.86,-21.15,35.6,80,90,9.17,overcast clouds
143,Vostok,RU,46.49,135.88,32.86,90,81,10.16,broken clouds
144,Nicoya,CR,10.15,-85.45,72.88,95,100,2.57,overcast clouds
145,Roald,NO,62.58,6.13,53.6,58,94,11.41,light rain
146,Pevek,RU,69.7,170.31,14.94,97,100,7.67,light snow
147,Aripuana,BR,-9.17,-60.63,69.98,98,86,0.72,overcast clouds
148,Unai,BR,-16.36,-46.91,69.06,88,92,3.49,overcast clouds
149,San Rafael,AR,-34.62,-68.33,65.95,29,30,2.75,scattered clouds
150,Betsiamites,CA,48.94,-68.65,46.4,93,90,2.93,overcast clouds
151,West Bay,KY,19.37,-81.42,82.99,80,100,1.99,overcast clouds
152,Aldan,RU,58.6,125.39,-2.99,91,100,4.16,overcast clouds
153,Xiongyue,CN,40.18,122.12,46.98,50,24,19.39,light rain
154,Jamame,SO,0.07,42.75,81.97,72,49,10.56,moderate rain
155,Nkowakowa,ZA,-23.89,30.29,50.0,93,20,4.7,few clouds
156,Maragogi,BR,-9.01,-35.22,75.79,85,21,9.95,few clouds
157,Hwange,ZW,-18.37,26.5,76.66,46,0,12.91,clear sky
158,Sovetskiy,RU,61.36,63.58,28.09,94,84,6.69,broken clouds
159,Palmas,BR,-10.21,-48.36,75.2,94,40,3.36,light rain
160,Dzaoudzi,YT,-12.79,45.27,80.6,69,0,4.7,clear sky
161,Gillette,US,44.29,-105.5,50.0,45,1,3.36,clear sky
162,Ilinden,MK,42.0,21.58,37.4,93,0,0.96,clear sky
163,Nelson Bay,AU,-32.72,152.15,71.6,56,75,17.22,broken clouds
164,Cape Town,ZA,-33.93,18.42,63.0,82,0,10.29,clear sky
165,Faanui,PF,-16.48,-151.75,80.42,79,17,19.8,light rain
166,Buala,SB,-8.14,159.59,85.77,68,35,3.62,light rain
167,San Patricio,US,28.02,-97.52,66.2,68,1,8.05,clear sky
168,Nanding,CN,36.75,118.06,62.01,41,0,3.0,clear sky
169,Alamor,EC,-4.02,-80.02,55.96,86,81,1.3,broken clouds
170,Magadi,IN,12.97,77.23,82.0,74,40,2.24,mist
171,Fortuna,US,40.6,-124.16,48.2,100,1,6.93,clear sky
172,Laguna,US,38.42,-121.42,57.99,62,1,1.77,clear sky
173,Jamestown,US,42.1,-79.24,35.01,97,90,26.4,overcast clouds
174,Dolores,AR,-36.31,-57.68,49.64,66,28,2.86,scattered clouds
175,Hasaki,JP,35.73,140.83,72.0,82,75,8.05,shower rain
176,Pyay,MM,18.82,95.22,85.91,74,4,4.65,moderate rain
177,Aklavik,CA,68.22,-135.01,6.8,84,81,2.24,broken clouds
178,Avera,US,33.19,-82.53,55.4,54,1,11.41,clear sky
179,Port Elizabeth,ZA,-33.92,25.57,62.6,93,20,8.05,few clouds
180,Yellowknife,CA,62.46,-114.35,10.99,84,75,9.17,light snow
181,Georgetown,MY,5.41,100.34,86.0,79,40,5.82,scattered clouds
182,Grindavik,IS,63.84,-22.43,35.6,79,75,6.93,broken clouds
183,Urucara,BR,-2.54,-57.76,79.05,75,55,3.36,broken clouds
184,Pemangkat,ID,1.17,108.97,84.02,72,86,8.14,moderate rain
185,Lebu,CL,-37.62,-73.65,51.91,94,92,8.68,overcast clouds
186,Yola,NG,9.2,12.48,74.8,34,87,1.52,overcast clouds
187,Haines Junction,CA,60.75,-137.51,8.6,78,100,3.36,overcast clouds
188,Tha Chang,TH,9.26,99.19,88.0,78,20,9.17,shower rain
189,Aswan,EG,24.09,32.91,70.43,55,10,9.64,clear sky
190,Rudbar,AF,30.15,62.6,70.79,16,0,1.9,clear sky
191,Kodiak,US,57.79,-152.41,28.4,39,90,14.99,overcast clouds
192,Pyaozerskiy,RU,65.83,31.17,37.92,86,100,11.41,overcast clouds
193,Constitucion,CL,-35.33,-72.42,51.46,90,9,8.93,clear sky
194,Kieta,PG,-6.22,155.63,84.2,65,10,2.59,light rain
195,Ust-Nera,RU,64.57,143.2,-11.61,80,43,4.9,scattered clouds
196,Saint Anthony,US,45.02,-93.22,28.99,58,1,3.36,clear sky
197,Meulaboh,ID,4.14,96.13,85.91,65,85,3.06,overcast clouds
